region,year,wgs84,rd
toeristengebied,2006,https://cartomap.github.io/nl/wgs84/toeristengebied_2006.geojson,https://cartomap.github.io/nl/rd/toeristengebied_2006.geojson
toeristengebied,2007,https://cartomap.github.io/nl/wgs84/toeristengebied_2007.geojson,https://cartomap.github.io/nl/rd/toeristengebied_2007.geojson
toeristengebied,2008,https://cartomap.github.io/nl/wgs84/toeristengebied_2008.geojson,https://cartomap.github.io/nl/rd/toeristengebied_2008.geojson
toeristengebied,2009,https://cartomap.github.io/nl/wgs84/toeristengebied_2009.geojson,https://cartomap.github.io/nl/rd/toeristengebied_2009.geojson
toeristengebied,2010,https://cartomap.github.io/nl/wgs84/toeristengebied_2010.geojson,https://cartomap.github.io/nl/rd/toeristengebied_2010.geojson
toeristengebied,2011,https://cartomap.github.io/nl/wgs84/toeristengebied_2011.geojson,https://cartomap.github.io/nl/rd/toeristengebied_2011.geojson
toeristengebied,2012,https://cartomap.github.io/nl/wgs84/toeristengebied_2012.geojson,https://cartomap.github.io/nl/rd/toeristengebied_2012.geojson
toeristengebied,2013,https://cartomap.github.io/nl/wgs84/toeristengebied_2013.geojson,https://cartomap.github.io/nl/rd/toeristengebied_2013.geojson
toeristengebied,2014,https://cartomap.github.io/nl/wgs84/toeristengebied_2014.geojson,https://cartomap.github.io/nl/rd/toeristengebied_2014.geojson
toeristengebied,2015,https://cartomap.github.io/nl/wgs84/toeristengebied_2015.geojson,https://cartomap.github.io/nl/rd/toeristengebied_2015.geojson
toeristengebied,2016,https://cartomap.github.io/nl/wgs84/toeristengebied_2016.geojson,https://cartomap.github.io/nl/rd/toeristengebied_2016.geojson
toeristengebied,2017,https://cartomap.github.io/nl/wgs84/toeristengebied_2017.geojson,https://cartomap.github.io/nl/rd/toeristengebied_2017.geojson
toeristengebied,2018,https://cartomap.github.io/nl/wgs84/toeristengebied_2018.geojson,https://cartomap.github.io/nl/rd/toeristengebied_2018.geojson
toeristengebied,2019,https://cartomap.github.io/nl/wgs84/toeristengebied_2019.geojson,https://cartomap.github.io/nl/rd/toeristengebied_2019.geojson
toeristengebied,2020,https://cartomap.github.io/nl/wgs84/toeristengebied_2020.geojson,https://cartomap.github.io/nl/rd/toeristengebied_2020.geojson
toeristengebied,2021,https://cartomap.github.io/nl/wgs84/toeristengebied_2021.geojson,https://cartomap.github.io/nl/rd/toeristengebied_2021.geojson
toeristengebied,2022,https://cartomap.github.io/nl/wgs84/toeristengebied_2022.geojson,https://cartomap.github.io/nl/rd/toeristengebied_2022.geojson
toeristengebied,2023,https://cartomap.github.io/nl/wgs84/toeristengebied_2023.geojson,https://cartomap.github.io/nl/rd/toeristengebied_2023.geojson
toeristengroep,2006,https://cartomap.github.io/nl/wgs84/toeristengroep_2006.geojson,https://cartomap.github.io/nl/rd/toeristengroep_2006.geojson
toeristengroep,2009,https://cartomap.github.io/nl/wgs84/toeristengroep_2009.geojson,https://cartomap.github.io/nl/rd/toeristengroep_2009.geojson
toeristengroep,2010,https://cartomap.github.io/nl/wgs84/toeristengroep_2010.geojson,https://cartomap.github.io/nl/rd/toeristengroep_2010.geojson
toeristengroep,2011,https://cartomap.github.io/nl/wgs84/toeristengroep_2011.geojson,https://cartomap.github.io/nl/rd/toeristengroep_2011.geojson
toeristengroep,2014,https://cartomap.github.io/nl/wgs84/toeristengroep_2014.geojson,https://cartomap.github.io/nl/rd/toeristengroep_2014.geojson
toeristengroep,2015,https://cartomap.github.io/nl/wgs84/toeristengroep_2015.geojson,https://cartomap.github.io/nl/rd/toeristengroep_2015.geojson
toeristengroep,2016,https://cartomap.github.io/nl/wgs84/toeristengroep_2016.geojson,https://cartomap.github.io/nl/rd/toeristengroep_2016.geojson
toeristengroep,2017,https://cartomap.github.io/nl/wgs84/toeristengroep_2017.geojson,https://cartomap.github.io/nl/rd/toeristengroep_2017.geojson
toeristengroep,2018,https://cartomap.github.io/nl/wgs84/toeristengroep_2018.geojson,https://cartomap.github.io/nl/rd/toeristengroep_2018.geojson
toeristengroep,2019,https://cartomap.github.io/nl/wgs84/toeristengroep_2019.geojson,https://cartomap.github.io/nl/rd/toeristengroep_2019.geojson
toeristengroep,2020,https://cartomap.github.io/nl/wgs84/toeristengroep_2020.geojson,https://cartomap.github.io/nl/rd/toeristengroep_2020.geojson
toeristengroep,2021,https://cartomap.github.io/nl/wgs84/toeristengroep_2021.geojson,https://cartomap.github.io/nl/rd/toeristengroep_2021.geojson
toeristengroep,2022,https://cartomap.github.io/nl/wgs84/toeristengroep_2022.geojson,https://cartomap.github.io/nl/rd/toeristengroep_2022.geojson
toeristengroep,2023,https://cartomap.github.io/nl/wgs84/toeristengroep_2023.geojson,https://cartomap.github.io/nl/rd/toeristengroep_2023.geojson
veiligheidsregio,2011,https://cartomap.github.io/nl/wgs84/veiligheidsregio_2011.geojson,https://cartomap.github.io/nl/rd/veiligheidsregio_2011.geojson
veiligheidsregio,2012,https://cartomap.github.io/nl/wgs84/veiligheidsregio_2012.geojson,https://cartomap.github.io/nl/rd/veiligheidsregio_2012.geojson
veiligheidsregio,2013,https://cartomap.github.io/nl/wgs84/veiligheidsregio_2013.geojson,https://cartomap.github.io/nl/rd/veiligheidsregio_2013.geojson
veiligheidsregio,2014,https://cartomap.github.io/nl/wgs84/veiligheidsregio_2014.geojson,https://cartomap.github.io/nl/rd/veiligheidsregio_2014.geojson
veiligheidsregio,2015,https://cartomap.github.io/nl/wgs84/veiligheidsregio_2015.geojson,https://cartomap.github.io/nl/rd/veiligheidsregio_2015.geojson
veiligheidsregio,2016,https://cartomap.github.io/nl/wgs84/veiligheidsregio_2016.geojson,https://cartomap.github.io/nl/rd/veiligheidsregio_2016.geojson
